Tweet,loc,State
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Everett, WA",Washington
@ABC So far over 5000 deaths from the covid 19 vaccine according to CDC website. Who can trust to the deep state an… https://t.co/T5PHyRvolb,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,#PencilFacts,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Boise, ID, USA",Idaho
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Toronto, Ontario",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
"RT @NeetuGarg6: Delhi citizens - If U have voted to @ArvindKejriwal for free Bijli, Pani &amp; Mohalla Clinic. Why moving to UP 4 vaccination?…",New Delhi,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,At Home ,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Hellscape, USA",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Seattle, Washington, USA",Washington
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Phoenix, AZ",Arizona
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Seattle,Washington
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Pennsburg, PA",Pennsylvania
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Edmond, OK",Oklahoma
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Callaway, VA",Virginia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Beaverton, OR",Oregon
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Shelton, WA",Washington
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Arizona,Arizona
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Australia,Australia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Minneapolis,Minnesota
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"""Amateurs Advertise"" - TMR",Texas
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Alexandria, VA",Virginia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Los Angeles,California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"St. Simons Island, Ga. ",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Nashville, NC",North Carolina
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,India,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Spokane, WA",Washington
"I mean ....
MAGA: Why aren't you giving him credit for the vaccine!
Also MAGA: no way we're taking that Bill Gates… https://t.co/qMZe5MNFTe",Chicago,Illinois
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"ÜT: 43.648055,-79.379878",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
"RT @cscnme: Chunky Cheezus is talking vaccine at the NCGOP convention in North Carolina.

His pushing the vax has alienated a huge swath of…","Michigan, USA",Michigam
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Boise, ID",Idaho
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Massachusetts,Massachusettes
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Cleveland,Ohio
"RT @cscnme: Chunky Cheezus is talking vaccine at the NCGOP convention in North Carolina.

His pushing the vax has alienated a huge swath of…",,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Pacific Northwest,Washington
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"California, USA",California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Twitter Gulch,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Newcastle, Australia",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Left of Center,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Perth, Western Australia",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"New York, NY",New York
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Metro Manila,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Washington, DC",Virginia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,New Orleans,Louisiana
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Chicago, IL",Illinois
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Richmond, Virginia",Virginia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,PKA,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Tampa, Florida",Florida
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Atlanta,Georgia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Newtown, CT",Connecticut
Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state c… https://t.co/VzgrUSAAov,,NA
"RT @cscnme: Chunky Cheezus is talking vaccine at the NCGOP convention in North Carolina.

His pushing the vax has alienated a huge swath of…",,NA
"Chunky Cheezus is talking vaccine at the NCGOP convention in North Carolina.

His pushing the vax has alienated a h… https://t.co/6ekxjOdcuo","South Carolina, USA",South Carolina
"RT @ThashukiMendis: Recap from last 3 days
-Accepting donations from Australia 
-Sworn in as State Minister of Digital technology &amp; entrepr…",Copenhagen  🇩🇰,NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/TIGsRuPVb6","Vancouver, British Columbia",NA
@patriottakes They'll probably make up something about the Trumpster secretly switching the Poisonous Vaccine (by t… https://t.co/VgLq2dgyDA,Westfalen-Lippe,NA
"@patriottakes With the Real Vaccine, of course.

They're trying to make up an excuse that would allow them to get v… https://t.co/cupi6zJFKi",Westfalen-Lippe,NA
"RT @tom_beshere: @davidfrum And the vaccine is both:

(a) A medical miracle created wholly by the vision and genius of our President Eterna…",,NA
@bwsmith100 @PeculiarBaptist Needed expedited vaccine production! Rooting out the Deep State was more complicated t… https://t.co/Vx7lnKtuPb,"California, USA",California
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/pgSotjVg47","Smyrna, DE",Delaware
"RT @HaileyPatriot: @baseball41519 @BJSee I recently figured it out. If Trump had not expedited it, the vaccine would not be considered expe…",,NA
"@FreeCanada21 @baseball41519 @BJSee Trump didn't make the ""vax"", he was depending on the drug companies to get it r… https://t.co/UQrAcr7pCF",,NA
"RT @HaileyPatriot: @baseball41519 @BJSee I recently figured it out. If Trump had not expedited it, the vaccine would not be considered expe…",,NA
Deep State Planning False Flag Attack in Order to Blame “Anti-vaxxers” and Gun Owners: 'Phase 4: Criminalize vaccin… https://t.co/2FnjTkx5m0,"Henly, TX",Texas
"RT @tom_beshere: @davidfrum And the vaccine is both:

(a) A medical miracle created wholly by the vision and genius of our President Eterna…",,NA
@annamalai_k Punjab is exposed as it is caught. The speed at which paid vaccine is growing in every state while pub… https://t.co/kcGMiAunq6,"Mumbai, India",NA
"@davidfrum And the vaccine is both:

(a) A medical miracle created wholly by the vision and genius of our President… https://t.co/Pt2rZXiIsz",,NA
"RT @HaileyPatriot: @baseball41519 @BJSee I recently figured it out. If Trump had not expedited it, the vaccine would not be considered expe…","Minnesota, USA",Minnesota
"@sphere21x ""Voter fraud, Deep State exposed, Alien Invasion, Vaccine Shedding, Elevating your frequency and more...… https://t.co/t6f14ahkFQ",West Norfolk,NA
@Natasha_KC1 If there was a vaccine to make you immune to “deep state” would anti vaxxers take it?,,NA
"RT @dandy_iv: The Covid Deep State: Threats, Vaccine Injuries and Deaths Abound No Compensation - No Justice - Gl... https://t.co/g2IEaKNzB…",United Kingdom,NA
"The Covid Deep State: Threats, Vaccine Injuries and Deaths Abound No Compensation - No Justice - Gl... https://t.co/g2IEaKNzBe @Jen70717630",Nemesis Nibiru 🙏🐈✨,NA
"In that matter first your party leader should dive deep into that Chullu Bhar Pani, then those congress ruled state… https://t.co/tFCh0PdtU8",New Delhi,NA
"@BeverlyWendlin1 @DonaldJTrumpJr Because the pharma's were ALREADY working with DEEP STATE professionals, in every… https://t.co/S33qU80wGR",,NA
"RT @micahvalerio: conspiracy theorists saying the vaccine is a deep state ploy to chip or infect the population, but. why?. to what end?...…","Schaumburg, IL",Illinois
@yes_we_cat @OlivesStones @LollllllaJR @whywouldyou_uk @garybkatz @Mooke53950109 @Buckeye_ricky @m4bj4v1d… https://t.co/zxmouHPa7x,Cylons Coffee,NA
"Charlie Ward: Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! -… https://t.co/lIGbafxS7T",,NA
RT @washingtonpost: Royal Caribbean just announced a flood of summer cruises. Vaccinations are optional. https://t.co/KKnQNgyP4l,Dreaming of Prague,NA
"conspiracy theorists saying the vaccine is a deep state ploy to chip or infect the population, but. why?. to what e… https://t.co/9TLcNiufbY",".memphis bred, beach dwellin.",NA
https://t.co/7pYh9xYj1G,"Denver, CO",Colorado
RT @TrentCapelli: The GOP cares more about stopping people from being shot with the vaccine than stopping people from being shot by a gun.,"Washington, DC",Virginia
RT @TravisAllen02: There’s someone out there who drank bleach but refuses to get the vaccine,"Washington, DC",Virginia
"RT @kurteichenwald: This morning, my MD wife worked at a major vaccine center in Dallas. Whole place was staffed, ready to vaccinate. No on…","Washington, DC",Virginia
"No, I am pissed off. Let our doses go to Canada, Mexico and Asian countries. They are begging for the doses. We sho… https://t.co/E0QFQJjz42",,NA
"The Covid Deep State: Threats, Vaccine Injuries and Deaths Abound No Compensation. No Justice https://t.co/xiMi93Mv0Y","Ontario, Canada",NA
"It’s not real.
It’s no worse than the flu.
It’s a hoax.
It’s not a hoax, but hydroxychloroquine is a cure.
It’s a h… https://t.co/j0p6v48wiU","Hays, KS",Kansas
"@rhughe_robin @serena_patriot Okay, Qanon bingo time. We have Fauci, deep state, sheep and indoctrination. Mind tos… https://t.co/Uif0STR8UY",,NA
"@baseball41519 @BJSee I recently figured it out. If Trump had not expedited it, the vaccine would not be considered… https://t.co/dBYGarnqQy","Houston, TX",Texas
@fordnation ALS isn’t real! It’s an invention of the deep state so they can 666 you with the vaccine!,Canada,NA
"Anyone know where the Deep State meeting is? Went to all the Covid-20 vaccination sites (for the “real” vaccine), b… https://t.co/QQeXBlErgg",purrrrrgatory,NA
@sanjoyr03 Congressi do you need another zero in another state for BS? Punjab could become another state to give Co… https://t.co/qo7COQCqTB,"Agra, India",NA
https://t.co/aswyW6WDvr,,NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/EDxZGssq1o",France,NA
@BenDove50627190 @jaymek47 @JasonMillerinDC Why can’t you blame the deep state that’s responsible?    So short sigh… https://t.co/7caa334Ztp,,NA
"RT @vijayanpinarayi: Even though Central Govt. is withdrawing from its basic responsibilities, State Govt. will ensure the health of its ci…","Kolkata, India",NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/GFSip72JSQ",,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…",,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…",,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…",Mumbai,NA
RT @dapmalaysia: Such low vaccine registration in Sabah could cause it to be the last state in Malaysia to achieve herd immunity -&gt; Last st…,Malaysia,NA
The Big Pharma Deep State controls Congress. The UFO report due this month should disclose some the concealed extra… https://t.co/mcybigA04g,,NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/daxqvOwBE0",Durban South Africa,NA
RT @dapmalaysia: Such low vaccine registration in Sabah could cause it to be the last state in Malaysia to achieve herd immunity -&gt; Last st…,,NA
Such low vaccine registration in Sabah could cause it to be the last state in Malaysia to achieve herd immunity -&gt;… https://t.co/7OIfVCpLxe,Malaysia,NA
"RT @mvmeet: Punjab Govt is selling Covaxin procured under state quota to private hospitals at higher prices

Govt will get vaccine at Rs 40…",bharat ,NA
"VOTER FRAUD, DEEP STATE EXPOSED, ALIEN INVASION, VACCINE SHEDDING, ELEVATING YOUR FREQUENCY &amp; MORE! https://t.co/rKqxwzm0fQ via @BitChute",,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…",Nagaland,NA
"you can guess that no good is coming from this ... 

I think teh vaccine is all about the Deep State controlling the people",Western NY,NA
"RT @PokerPolitics: Trump, who were told for years could destroy the Deep State by issuing DECLAS is now helpless and had his hands tied by…",Soviet Florida🇷🇺,Florida
"RT @PokerPolitics: Trump, who were told for years could destroy the Deep State by issuing DECLAS is now helpless and had his hands tied by…",United States,NA
"@FierceDinosaur Qanon does not promote the vaccine, ? What does this connection mean? Why why do you cancel culture… https://t.co/Qtge3mdteG","Sydney, New South Wales",NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",India,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…","New Delhi, India",NA
RT @davematt88: I heard some defendants in drug court today talking about how they weren't going to take the vaccine because it wasn't test…,"Washington, DC",Virginia
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",,NA
"Trump, who were told for years could destroy the Deep State by issuing DECLAS is now helpless and had his hands tie… https://t.co/BKmRFqet2g","Deceptive Occult Hellhole, USA",NA
"RT @JakeLobin: Here we go again....

The same people who praise Operation Warp Speed, also refuse to take the vaccine.

Got it 🤗","Washington, DC",Virginia
RT @1st5d: The same people claiming Trump foiled the deep state's plans to subjugate the masses &amp; crash the economy by swifty producing a v…,"Juno, NC",North Carolina
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/EroL3r767y",CA,California
"It is quickly becoming difficult to defend Trump's stance on the vaccine.

Why did he speed it up so rapidly and su… https://t.co/SnFhbAqjdv",,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…","Assam, India ",NA
"The Deep State has a sinister agenda.  COVID was created to initiate vaccine passports, tank our economy, steal our… https://t.co/0qMaeXMcWg",,NA
"** NO   Mask !!!
** NO   Vaccine !!!
** NO   Control !!!
**  Deep  State  Out !!!",,NA
"@laurenboebert The Gates / Deep State Intel ran the pandemic&amp;are still running it

With the levels of media conform… https://t.co/OmaPlJ3lbr",The World,NA
"@seanhannity Deep State failed in the vaccine sales. 

Deep State is really angry at:
- Gates
- Fauci
- Biden

Deep… https://t.co/S9ZiFab8uF",Global,NA
@TruthOls @OhioNooo @efpkm @seanrm92 @AnneMarieBxNY @washingtonpost Its just funny. Every righty has a wildly diffe… https://t.co/Kz4BaTRuyx,,NA
@corbsalleys He's prone to hyperbole. Millions agree that the vaccine is safe and millions have taken it (I don't a… https://t.co/LGUSqZRxMm,,NA
@Geekusmaximus73 @Z_AKDC9 @ic_lib @JBMatthews @WalshFreedom Lol. Republicans: praise trump for his excellent work g… https://t.co/sarxcz09rW,Seattle,Washington
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/x6F4TthSB8,,NA
RT @1st5d: The same people claiming Trump foiled the deep state's plans to subjugate the masses &amp; crash the economy by swifty producing a v…,prison planet Earth,NA
"@thomaskaine5 I'm fully vaxxed, but my kids aren't and won't be for some months. I live in a deep red state surroun… https://t.co/ZNzlhZHpr1",,NA
The same people claiming Trump foiled the deep state's plans to subjugate the masses &amp; crash the economy by swifty… https://t.co/ktOKv9m6Ao,,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…","Guwahati, Assam, India",NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives! Plus Waking Up Billions Worldwide! https://t.co/1T4Nxk3QWi,"Florida, USA",Florida
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",Kohima,NA
"RT @HealthNagaland: UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programme.Th…",,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…",,NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…","Guwahati, India",NA
"RT @MyGovNagaland: Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccina…","Guwahati, Assam, India",NA
"UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen vaccination progra… https://t.co/4QD7fIN1eK",Nagaland,NA
"Thank you @UNICEF for donating 600 vaccine carriers, 2 Ice-lined refrigerators and 3 deep freezers to strengthen va… https://t.co/nngGIRUmFu",,NA
"UNICEF donated 600 vaccine carriers, 2 Ice-lined refrigerators &amp; 3 deep freezers to strengthen vaccination programm… https://t.co/3AEI8LRxVU","Kohima, Nagaland ",NA
"RT @Gr8Believer: Mick Jagger's new song - Easy Sleazy:
Shooting the vaccine
Bill Gates is in my bloodstream
It's mind control
The Earth is…","Ay-t-el, Jawja",NA
"Just as with Brexit, there’s apparently a ‘right’ and ‘wrong’ stance on vaccines, &amp; people who don’t get jabbed are… https://t.co/MZ0y1TzERM",UK ,NA
"@squidinkydink @NJDeptofHealth Yeah. Since cops, firemen, healthcare workers all got the vaccine, the deep state an… https://t.co/LXe5aauRDl",,NA
@trcfwtt If you’ve ever eaten a deep fried food at a State Fair or Amusement park then the vaccine is the least of your worries…,The Unknown Regions,NA
"Russia Collusion....Trump was correct.

The Wuhan virus came from a lab....Trump was correct.

Hydroxychloroquine..… https://t.co/4kTE0aKIOW","Southeast Massachusetts, USA",Massachusettes
RT @SherryBurgo: Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/8cb8HcuG…,,NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/8cb8HcuGtr,,NA
RT @KumaraVaani: Moonchute's the main blackcoat in judicial encroachment into executive space yesterday over vaccine sufficiency. His Harva…,"Hyderabad, India",NA
RT @KumaraVaani: Moonchute's the main blackcoat in judicial encroachment into executive space yesterday over vaccine sufficiency. His Harva…,,NA
RT @KumaraVaani: Moonchute's the main blackcoat in judicial encroachment into executive space yesterday over vaccine sufficiency. His Harva…,Bangalore,NA
Moonchute's the main blackcoat in judicial encroachment into executive space yesterday over vaccine sufficiency. Hi… https://t.co/mng2EbxtsY,,NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/suEVYTydKS via @BitChute,,NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/YQwuZg6AHC,"Nth Coast, NSW",NA
"@harishbpuri In Rajasthan vials filled with vaccine were not just discarded, but buried deep in the ground.
Milords… https://t.co/3yc4STgrJe",,NA
https://t.co/fqsoRfn1wQ,#9ll=#NWO #NaZi #FalseFlag!,NA
"@Angelakg5 i dont know if it is worth the effort , but if you want the answer this  will start you on the right pat… https://t.co/U8M19uXf80",Atlanta  Miami,Georgia
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives! Plus Waking Up Billions Worldwide! | Alter… https://t.co/XpcgyOtQHS,,NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives! Plus Waking Up Billions Worldwide! | Alter… https://t.co/CYu8YjL0YJ,Chazelles sur lyon,NA
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives! Plus Waking Up Billions Worldwide! | Alter… https://t.co/jU8i8frHOK,,NA
"RT @Gr8Believer: Mick Jagger's new song - Easy Sleazy:
Shooting the vaccine
Bill Gates is in my bloodstream
It's mind control
The Earth is…",Bongaigaon,NA
https://t.co/HxKYZ8rAbp,"Brooklyn Park, MD",Maryland
@chipkahn bat feather deep state tyranny virus vaccine. https://t.co/EGhWL9Sr3b,"Virginia, USA",Virginia
Sptunik vaccine in kerafaaa naseem cut negiya dheegen nuvaane. Rayyithun visnaathi Mulhi dhaulai pakalhaa koffi gau… https://t.co/ymu8lA1k8P,,NA
@vinylsol The vaccine is just a more efficient delivery method so the New Deep Reset State Order Pharms don't have… https://t.co/euVwdT1qkP,"QLD, Australia",NA
"“Big League Politics has reported on how the America First leadership of Gaetz, who recently defeated a scurrilous… https://t.co/sD5qFsLeOU",Shaolin,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih","Portland, Oregon ",Oregon
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih",,NA
"The vaccine campaign is shaky 
People are starting to ask too many questions 
How should the Deep state address thi… https://t.co/z1HiwIJbxe",USA,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih",under your bed..,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih","Tennessee, USA",Tennessee
"Mick Jagger's new song - Easy Sleazy:
Shooting the vaccine
Bill Gates is in my bloodstream
It's mind control
The Ea… https://t.co/KsZjhB5LIw",Flat Earth Plane,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih",Nederland,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih",United States,NA
"RT @barnes_law: From vaccine mandates to Deep State lynchpins, and more...
https://t.co/KrV72aH5ih",,NA
Anthony Fauci should be tried for treason &amp; all of his deep state medical cartel should go to jail...#Covid_19 #vaccine,Alaska,NA
@RantsOutloud @DeaceProducer Might he have needed Fauci’s own little niche of the Deep State to expedite a vaccine?… https://t.co/BSAdYPsmHI,"California, USA",California
